51.0.A.0.jpg; My back is sore. The man looked down and the woman looked to the right.
51.0.B.0.jpg; Thanks, you two. The man in the purple robe spoke to them.
51.0.C.0.jpg; Do your best martin! gotcha. The woman smiled excitedly.
51.0.D.0.jpg; See you again. The man with spiky blue hair waved goodbye.
51.1.A.0.jpg; Eli, there are ten days left before the competition. Aren't you going to go practice? the man asked the other.
51.1.B.0.jpg; Teacher said that working here counts as training towards the competition. He smiled, pushing a large grey rock with his bandaged hand.
51.1.C.0.jpg; How broke are you? i heard that you've been moving materials for the forgery class since forever. The man's mouth opened slightly in shock.
51.1.D.0.jpg; Eli is a great kid. He's got many siblings at home. The man pointed upwards. A large rock was being lifted.
51.2.A.0.jpg; And sends the money back to his family to help with the expenses. He pushed the cart with two large pots on it quickly.
51.2.B.0.jpg; Not only is he a great student, he's a great brother too! hehe, i am the oldest one after all. The boy smiled warmly and gave a thumbs up.
51.2.C.0.jpg; Winning the tournament can result in greatly improving the quality of life for my siblings! he looked down determinedly.
51.2.D.0.jpg; So i must win this time round! he flexed his fist.
51.2.E.0.jpg; Is there a lot of prize money involved? he touched his chin thoughtfully.
51.2.F.0.jpg; Of course! the man with blue hair looked to the left.
51.3.A.0.jpg; The winner takes home a thousand gold coins and a pure gold tournament cup! he pointed his finger up excitedly.
51.3.B.0.jpg; Tsh, that's only enough to buy a few high-level gold alloy stones. He frowned.
51.3.C.0.jpg; Apart from that, you're also awarded with an honorary military title! after graduating, you can directly join the military and earn a fortune! he smiled excitedly.
51.3.D.0.jpg; Military title? can they leave the kingdom to venture outwards? his mouth opened in surprise.
51.3.E.0.jpg; Of course you can, but leaving alone is very risky. He looked to the left.
51.3.F.0.jpg; Hey! that way i can take yi bei and head back to the demon tribe! i've been away for so long now, if i don't get back before my vacation ends, i'm screwed! but if i go back... He looked serious.
51.4.A.0.jpg; Head over there. Alright. Take the blueprint and wait for my commands. Sure. The man pointed to the kneeling man, who drew lines in the sand.
51.4.B.0.jpg; Teacher! he spoke.
51.4.C.0.jpg; We're here. The man with teal hair smiled.
51.4.D.0.jpg; I'm so glad that you guys could lend a hand! he smiled.
51.4.E.0.jpg; As a student, helping the teacher is a must. They stood facing a large wall.
51.5.A.0.jpg; Senior hans! modo! the three men smiled and spoke.
51.5.B.0.jpg; I can't believe that the three seniors are all here! the man in the red coat held something.
51.5.C.0.jpg; So you must be xiang ye. He looked surprised.
51.5.D.0.jpg; I heard that you can draw mechanical giants and steam engines. How did you manage that? he looked to the left.
51.6.A.0.jpg; Hehe, it's not much, i just have a big brain... He scratched his head smugly.
51.6.B.0.jpg; But you guys seem to be even more impressive, i heard modo say you guys are well known forgers within the kingdom! that's right! he smiled and held his hand to his head.
51.6.C.0.jpg; I asked them to come so that they could help you guys improve your forgery skills while i'm busy. He looked directly at the viewer.
51.6.D.0.jpg; I want you guys to enter special training within the next ten days! special training? the man with brown hair looked shocked.
